"Date","Price","Open","High","Low","Change %"
"Oct 22, 2020","1.3081","1.3151","1.3155","1.3069","-0.48%"
"Oct 21, 2020","1.3144","1.2945","1.3178","1.2937","1.55%"
"Oct 20, 2020","1.2944","1.2952","1.2980","1.2910","-0.02%"
"Oct 19, 2020","1.2947","1.2915","1.3025","1.2889","0.26%"
"Oct 16, 2020","1.2913","1.2916","1.2963","1.2863","-0.01%"
"Oct 15, 2020","1.2914","1.3010","1.3031","1.2890","-0.75%"
"Oct 14, 2020","1.3011","1.2938","1.3066","1.2862","0.60%"
"Oct 13, 2020","1.2934","1.3064","1.3074","1.2922","-1.00%"
"Oct 12, 2020","1.3064","1.3028","1.3084","1.3004","0.14%"
"Oct 09, 2020","1.3046","1.2935","1.3051","1.2920","0.87%"
"Oct 08, 2020","1.2933","1.2919","1.2972","1.2890","0.12%"
"Oct 07, 2020","1.2918","1.2886","1.2931","1.2845","0.32%"
"Oct 06, 2020","1.2877","1.2978","1.3008","1.2866","-0.77%"
"Oct 05, 2020","1.2977","1.2933","1.2991","1.2899","0.36%"
"Oct 02, 2020","1.2931","1.2893","1.2955","1.2837","0.33%"
"Oct 01, 2020","1.2889","1.2919","1.2980","1.2818","-0.21%"
"Sep 30, 2020","1.2916","1.2864","1.2944","1.2806","0.43%"
"Sep 29, 2020","1.2861","1.2836","1.2903","1.2822","0.27%"
"Sep 28, 2020","1.2827","1.2747","1.2927","1.2744","0.64%"
"Sep 25, 2020","1.2745","1.2754","1.2806","1.2687","-0.03%"
"Sep 24, 2020","1.2749","1.2724","1.2782","1.2689","0.21%"
"Sep 23, 2020","1.2722","1.2733","1.2778","1.2674","-0.07%"
"Sep 22, 2020","1.2731","1.2812","1.2868","1.2710","-0.65%"
"Sep 21, 2020","1.2814","1.2924","1.2967","1.2774","-0.78%"
"Sep 18, 2020","1.2915","1.2973","1.3001","1.2915","-0.44%"
"Sep 17, 2020","1.2972","1.2966","1.3000","1.2865","0.05%"
"Sep 16, 2020","1.2965","1.2889","1.3008","1.2874","0.61%"
"Sep 15, 2020","1.2886","1.2841","1.2927","1.2815","0.33%"
"Sep 14, 2020","1.2844","1.2803","1.2920","1.2775","0.40%"
"Sep 11, 2020","1.2793","1.2800","1.2866","1.2763","-0.08%"
"Sep 10, 2020","1.2803","1.3003","1.3036","1.2773","-1.52%"
"Sep 09, 2020","1.3000","1.2981","1.3024","1.2884","0.10%"
"Sep 08, 2020","1.2987","1.3170","1.3180","1.2980","-1.36%"
"Sep 07, 2020","1.3166","1.3274","1.3285","1.3140","-0.87%"
"Sep 04, 2020","1.3282","1.3282","1.3320","1.3175","0.02%"
"Sep 03, 2020","1.3280","1.3349","1.3358","1.3242","-0.54%"
"Sep 02, 2020","1.3352","1.3383","1.3404","1.3283","-0.22%"
"Sep 01, 2020","1.3381","1.3367","1.3484","1.3355","0.09%"
"Aug 31, 2020","1.3369","1.3342","1.3396","1.3301","0.15%"
"Aug 28, 2020","1.3349","1.3208","1.3357","1.3185","1.14%"
"Aug 27, 2020","1.3198","1.3207","1.3285","1.3162","-0.08%"
"Aug 26, 2020","1.3208","1.3153","1.3220","1.3117","0.44%"
"Aug 25, 2020","1.3150","1.3068","1.3171","1.3054","0.67%"
"Aug 24, 2020","1.3063","1.3086","1.3149","1.3052","-0.18%"
"Aug 21, 2020","1.3087","1.3216","1.3256","1.3059","-0.95%"
"Aug 20, 2020","1.3212","1.3096","1.3226","1.3063","0.87%"
"Aug 19, 2020","1.3098","1.3239","1.3269","1.3094","-1.04%"
"Aug 18, 2020","1.3235","1.3099","1.3250","1.3095","1.02%"
"Aug 17, 2020","1.3102","1.3087","1.3123","1.3074","0.14%"
"Aug 14, 2020","1.3084","1.3060","1.3144","1.3047","0.16%"
"Aug 13, 2020","1.3063","1.3035","1.3125","1.3030","0.24%"
"Aug 12, 2020","1.3032","1.3053","1.3068","1.3004","-0.12%"
"Aug 11, 2020","1.3048","1.3078","1.3132","1.3041","-0.17%"
"Aug 10, 2020","1.3070","1.3042","1.3104","1.3018","0.13%"
"Aug 07, 2020","1.3053","1.3153","1.3155","1.3009","-0.73%"
"Aug 06, 2020","1.3149","1.3114","1.3187","1.3111","0.26%"
"Aug 05, 2020","1.3115","1.3073","1.3162","1.3056","0.40%"
"Aug 04, 2020","1.3062","1.3075","1.3109","1.2981","-0.10%"
"Aug 03, 2020","1.3075","1.3082","1.3113","1.3004","-0.12%"
"Jul 31, 2020","1.3090","1.3098","1.3171","1.3069","-0.04%"
"Jul 30, 2020","1.3095","1.2997","1.3103","1.2944","0.76%"
"Jul 29, 2020","1.2996","1.2932","1.3013","1.2911","0.49%"
"Jul 28, 2020","1.2932","1.2882","1.2953","1.2838","0.38%"
"Jul 27, 2020","1.2882","1.2786","1.2903","1.2780","0.72%"
"Jul 24, 2020","1.2791","1.2741","1.2804","1.2717","0.39%"
"Jul 23, 2020","1.2742","1.2734","1.2761","1.2672","0.06%"
"Jul 22, 2020","1.2734","1.2733","1.2744","1.2644","0.02%"
"Jul 21, 2020","1.2731","1.2658","1.2768","1.2650","0.54%"
"Jul 20, 2020","1.2662","1.2565","1.2666","1.2517","0.75%"
"Jul 17, 2020","1.2567","1.2552","1.2575","1.2510","0.14%"
"Jul 16, 2020","1.2550","1.2584","1.2625","1.2520","-0.25%"
"Jul 15, 2020","1.2582","1.2552","1.2651","1.2548","0.24%"
"Jul 14, 2020","1.2551","1.2558","1.2567","1.2479","-0.02%"
"Jul 13, 2020","1.2554","1.2612","1.2667","1.2550","-0.54%"
"Jul 10, 2020","1.2622","1.2607","1.2665","1.2566","0.12%"
"Jul 09, 2020","1.2607","1.2614","1.2671","1.2600","-0.04%"
"Jul 08, 2020","1.2611","1.2542","1.2624","1.2508","0.55%"
"Jul 07, 2020","1.2542","1.2492","1.2593","1.2463","0.39%"
"Jul 06, 2020","1.2493","1.2485","1.2521","1.2459","0.06%"
"Jul 03, 2020","1.2485","1.2465","1.2494","1.2437","0.14%"
"Jul 02, 2020","1.2467","1.2476","1.2531","1.2456","-0.05%"
"Jul 01, 2020","1.2474","1.2401","1.2492","1.2358","0.59%"
"Jun 30, 2020","1.2401","1.2298","1.2402","1.2257","0.83%"
"Jun 29, 2020","1.2299","1.2340","1.2391","1.2251","-0.30%"
"Jun 26, 2020","1.2335","1.2421","1.2438","1.2313","-0.66%"
"Jun 25, 2020","1.2418","1.2419","1.2465","1.2388","-0.02%"
"Jun 24, 2020","1.2420","1.2521","1.2543","1.2414","-0.79%"
"Jun 23, 2020","1.2520","1.2467","1.2533","1.2431","0.45%"
"Jun 22, 2020","1.2463","1.2356","1.2478","1.2335","0.85%"
"Jun 19, 2020","1.2358","1.2421","1.2457","1.2343","-0.55%"
"Jun 18, 2020","1.2426","1.2556","1.2568","1.2401","-1.04%"
"Jun 17, 2020","1.2557","1.2573","1.2589","1.2510","-0.16%"
"Jun 16, 2020","1.2577","1.2605","1.2688","1.2553","-0.21%"
"Jun 15, 2020","1.2604","1.2531","1.2608","1.2454","0.50%"
"Jun 12, 2020","1.2542","1.2601","1.2655","1.2473","-0.48%"
"Jun 11, 2020","1.2602","1.2745","1.2756","1.2586","-1.13%"
"Jun 10, 2020","1.2747","1.2731","1.2814","1.2706","0.13%"
"Jun 09, 2020","1.2731","1.2723","1.2757","1.2617","0.06%"
"Jun 08, 2020","1.2723","1.2681","1.2737","1.2628","0.46%"
"Jun 05, 2020","1.2665","1.2607","1.2732","1.2582","0.55%"
"Jun 04, 2020","1.2595","1.2576","1.2634","1.2500","0.17%"
"Jun 03, 2020","1.2574","1.2550","1.2616","1.2544","0.19%"
"Jun 02, 2020","1.2550","1.2501","1.2577","1.2478","0.45%"
"Jun 01, 2020","1.2494","1.2339","1.2507","1.2322","1.20%"
"May 29, 2020","1.2346","1.2320","1.2395","1.2291","0.21%"
"May 28, 2020","1.2320","1.2261","1.2345","1.2234","0.56%"
"May 27, 2020","1.2252","1.2332","1.2355","1.2205","-0.66%"
"May 26, 2020","1.2333","1.2190","1.2364","1.2179","1.18%"
"May 25, 2020","1.2190","1.2179","1.2205","1.2163","0.19%"
"May 22, 2020","1.2166","1.2226","1.2242","1.2161","-0.47%"
"May 21, 2020","1.2224","1.2240","1.2250","1.2185","-0.13%"
"May 20, 2020","1.2241","1.2241","1.2289","1.2221","-0.10%"
"May 19, 2020","1.2253","1.2194","1.2297","1.2184","0.49%"
"May 18, 2020","1.2193","1.2086","1.2228","1.2075","0.72%"
"May 15, 2020","1.2106","1.2222","1.2239","1.2101","-1.00%"
"May 14, 2020","1.2228","1.2231","1.2242","1.2165","-0.02%"
"May 13, 2020","1.2230","1.2260","1.2341","1.2210","-0.25%"
"May 12, 2020","1.2261","1.2334","1.2377","1.2255","-0.61%"
"May 11, 2020","1.2336","1.2406","1.2438","1.2284","-0.58%"
"May 08, 2020","1.2409","1.2364","1.2469","1.2350","0.37%"
"May 07, 2020","1.2363","1.2347","1.2418","1.2265","0.16%"
"May 06, 2020","1.2343","1.2435","1.2451","1.2335","-0.75%"
"May 05, 2020","1.2436","1.2443","1.2485","1.2421","-0.06%"
"May 04, 2020","1.2444","1.2499","1.2504","1.2405","-0.48%"
"May 01, 2020","1.2504","1.2599","1.2602","1.2483","-0.71%"
"Apr 30, 2020","1.2594","1.2468","1.2643","1.2428","1.01%"
"Apr 29, 2020","1.2468","1.2425","1.2487","1.2388","0.35%"
"Apr 28, 2020","1.2425","1.2432","1.2519","1.2404","-0.04%"
"Apr 27, 2020","1.2429","1.2369","1.2456","1.2359","0.49%"
"Apr 24, 2020","1.2369","1.2344","1.2378","1.2298","0.20%"
"Apr 23, 2020","1.2344","1.2334","1.2416","1.2307","0.08%"
"Apr 22, 2020","1.2334","1.2294","1.2387","1.2273","0.32%"
"Apr 21, 2020","1.2294","1.2437","1.2451","1.2247","-1.15%"
"Apr 20, 2020","1.2437","1.2487","1.2505","1.2415","-0.51%"
"Apr 17, 2020","1.2501","1.2457","1.2523","1.2407","0.35%"
"Apr 16, 2020","1.2457","1.2514","1.2531","1.2407","-0.47%"
"Apr 15, 2020","1.2516","1.2616","1.2631","1.2437","-0.86%"
"Apr 14, 2020","1.2624","1.2514","1.2648","1.2503","0.90%"
"Apr 13, 2020","1.2512","1.2464","1.2537","1.2450","0.46%"
"Apr 10, 2020","1.2455","1.2458","1.2488","1.2443","-0.02%"
"Apr 09, 2020","1.2457","1.2385","1.2485","1.2361","0.57%"
"Apr 08, 2020","1.2387","1.2331","1.2421","1.2288","0.39%"
"Apr 07, 2020","1.2339","1.2232","1.2385","1.2164","0.89%"
"Apr 06, 2020","1.2230","1.2264","1.2328","1.2208","-0.26%"
"Apr 03, 2020","1.2262","1.2396","1.2412","1.2206","-1.07%"
"Apr 02, 2020","1.2394","1.2376","1.2476","1.2349","0.13%"
"Apr 01, 2020","1.2378","1.2429","1.2443","1.2329","-0.33%"
"Mar 31, 2020","1.2420","1.2414","1.2474","1.2251","0.01%"
"Mar 30, 2020","1.2418","1.2435","1.2469","1.2316","-0.32%"
"Mar 27, 2020","1.2457","1.2204","1.2486","1.2131","2.09%"
"Mar 26, 2020","1.2203","1.1875","1.2232","1.1775","2.66%"
"Mar 25, 2020","1.1887","1.1760","1.1976","1.1639","1.09%"
"Mar 24, 2020","1.1759","1.1549","1.1801","1.1508","1.81%"
"Mar 23, 2020","1.1550","1.1660","1.1741","1.1446","-0.79%"
"Mar 20, 2020","1.1643","1.1487","1.1934","1.1409","1.35%"
"Mar 19, 2020","1.1487","1.1619","1.1794","1.1473","-1.04%"
"Mar 18, 2020","1.1608","1.2116","1.2129","1.1466","-3.69%"
"Mar 17, 2020","1.2052","1.2268","1.2275","1.2002","-1.76%"
"Mar 16, 2020","1.2268","1.2285","1.2431","1.2201","-0.07%"
"Mar 13, 2020","1.2277","1.2573","1.2626","1.2267","-2.35%"
"Mar 12, 2020","1.2573","1.2818","1.2851","1.2490","-1.94%"
"Mar 11, 2020","1.2822","1.2905","1.2978","1.2805","-0.67%"
"Mar 10, 2020","1.2908","1.3130","1.3134","1.2881","-1.71%"
"Mar 09, 2020","1.3133","1.3047","1.3201","1.3031","0.64%"
"Mar 06, 2020","1.3050","1.2954","1.3058","1.2943","0.73%"
"Mar 05, 2020","1.2955","1.2872","1.2970","1.2859","0.64%"
"Mar 04, 2020","1.2872","1.2812","1.2873","1.2770","0.47%"
"Mar 03, 2020","1.2812","1.2752","1.2845","1.2738","0.47%"
"Mar 02, 2020","1.2752","1.2801","1.2852","1.2740","-0.54%"
"Feb 28, 2020","1.2821","1.2884","1.2920","1.2725","-0.50%"
"Feb 27, 2020","1.2886","1.2907","1.2948","1.2859","-0.15%"
"Feb 26, 2020","1.2905","1.3006","1.3013","1.2896","-0.78%"
"Feb 25, 2020","1.3006","1.2924","1.3019","1.2914","0.60%"
"Feb 24, 2020","1.2929","1.2960","1.2973","1.2886","-0.32%"
"Feb 21, 2020","1.2971","1.2884","1.2982","1.2876","0.70%"
"Feb 20, 2020","1.2881","1.2922","1.2930","1.2848","-0.31%"
"Feb 19, 2020","1.2921","1.2998","1.3024","1.2907","-0.60%"
"Feb 18, 2020","1.2999","1.3007","1.3050","1.2971","-0.08%"
"Feb 17, 2020","1.3009","1.3036","1.3056","1.2998","-0.29%"
"Feb 14, 2020","1.3047","1.3050","1.3063","1.2999","0.00%"
"Feb 13, 2020","1.3047","1.2958","1.3071","1.2943","0.66%"
"Feb 12, 2020","1.2961","1.2951","1.2992","1.2946","0.06%"
"Feb 11, 2020","1.2953","1.2915","1.2970","1.2895","0.29%"
"Feb 10, 2020","1.2915","1.2898","1.2947","1.2872","0.17%"
"Feb 07, 2020","1.2893","1.2930","1.2959","1.2881","-0.29%"
"Feb 06, 2020","1.2930","1.2999","1.3005","1.2921","-0.55%"
"Feb 05, 2020","1.3002","1.3034","1.3071","1.2956","-0.22%"
"Feb 04, 2020","1.3031","1.2994","1.3048","1.2940","0.28%"
"Feb 03, 2020","1.2995","1.3216","1.3216","1.2983","-1.56%"
"Jan 31, 2020","1.3201","1.3099","1.3210","1.3083","0.81%"
"Jan 30, 2020","1.3095","1.3019","1.3112","1.2977","0.57%"
"Jan 29, 2020","1.3021","1.3028","1.3031","1.2988","-0.05%"
"Jan 28, 2020","1.3028","1.3054","1.3066","1.2975","-0.21%"
"Jan 27, 2020","1.3055","1.3075","1.3105","1.3041","-0.17%"
"Jan 24, 2020","1.3077","1.3121","1.3173","1.3056","-0.35%"
"Jan 23, 2020","1.3123","1.3140","1.3152","1.3097","-0.14%"
"Jan 22, 2020","1.3142","1.3051","1.3154","1.3034","0.70%"
"Jan 21, 2020","1.3051","1.3014","1.3087","1.2996","0.31%"
"Jan 20, 2020","1.3011","1.3002","1.3014","1.2961","0.01%"
"Jan 17, 2020","1.3010","1.3081","1.3119","1.3006","-0.53%"
"Jan 16, 2020","1.3079","1.3040","1.3085","1.3026","0.31%"
"Jan 15, 2020","1.3038","1.3018","1.3045","1.2986","0.15%"
"Jan 14, 2020","1.3018","1.2988","1.3034","1.2952","0.22%"
"Jan 13, 2020","1.2990","1.3056","1.3064","1.2961","-0.54%"
"Jan 10, 2020","1.3061","1.3067","1.3097","1.3042","-0.05%"